year,movie,best_picture,best_picture_won,best_animated_feature,best_animated_feature_won,best_foreign,best_foreign_won,best_doc,best_doc_won,best_doc_short,best_doc_short_won,best_live_short,best_live_short_won,best_animated_short,best_animated_short_won
2016,"What Happened, Miss Simone? – Liz Garbus, Amy Hobby and Justin Wilkes",,,,,,,1,0,,,,,,
2016,Winter on Fire: Ukraine's Fight for Freedom – Evgeny Afineevsky and Den Tolmor,,,,,,,1,0,,,,,,
2016,A Girl in the River: The Price of Forgiveness – Sharmeen Obaid-Chinoydouble-dagger,,,,,,,,,1,1,,,,
2016,Body Team 12 – David Darg and Bryn Mooser,,,,,,,,,1,0,,,,
2016,"Chau, Beyond the Lines – Courtney Marsh and Jerry Franck",,,,,,,,,1,0,,,,
2016,Claude Lanzmann: Spectres of the Shoah – Adam Benzine,,,,,,,,,1,0,,,,
2016,Last Day of Freedom – Dee Hibbert-Jones and Nomi Talisman,,,,,,,,,1,0,,,,
2016,Stutterer – Benjamin Cleary and Serena Armitagedouble-dagger,,,,,,,,,,,1,1,,
2016,Ave Maria – Eric Dupont and Basil Khalil,,,,,,,,,,,1,0,,
2016,Day One – Henry Hughes,,,,,,,,,,,1,0,,
2016,Everything Will Be Okay – Patrick Vollrath,,,,,,,,,,,1,0,,
2016,Shok – Jamie Donoughue,,,,,,,,,,,1,0,,
2016,Bear Story – Pato Escala and Gabriel Osoriodouble-dagger,,,,,,,,,,,,,1,1
2016,Prologue – Imogen Sutton and Richard Williams,,,,,,,,,,,,,1,0
2016,Sanjay's Super Team – Nicole Grindle and Sanjay Patel,,,,,,,,,,,,,1,0
2016,We Can't Live Without Cosmos – Konstantin Bronzit,,,,,,,,,,,,,1,0
2016,World of Tomorrow – Don Hertzfeldt,,,,,,,,,,,,,1,0
2017,"Moonlight – Adele Romanski, Dede Gardner and Jeremy Kleinerdouble-dagger",1,1,,,,,,,,,,,,
2017,"Arrival – Shawn Levy, Dan Levine, Aaron Ryder and David Linde",1,0,,,,,,,,,,,,
2017,"Fences – Scott Rudin, Denzel Washington and Todd Black",1,0,,,,,,,,,,,,
2017,Hacksaw Ridge – Bill Mechanic and David Permut,1,0,,,,,,,,,,,,
2017,Hell or High Water – Carla Hacken and Julie Yorn,1,0,,,,,,,,,,,,
2017,"Hidden Figures – Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi",1,0,,,,,,,,,,,,
2017,"La La Land – Fred Berger, Jordan Horowitz and Marc Platt",1,0,,,,,,,,,,,,
2017,"Lion – Emile Sherman, Iain Canning and Angie Fielder",1,0,,,,,,,,,,,,
2017,"Manchester by the Sea – Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh",1,0,,,,,,,,,,,,
2017,"Zootopia – Byron Howard, Rich Moore and Clark Spencerdouble-dagger",,,1,1,,,,,,,,,,
2017,Kubo and the Two Strings – Travis Knight and Arianne Sutner,,,1,0,,,,,,,,,,
2017,"Moana – John Musker, Ron Clements and Osnat Shurer",,,1,0,,,,,,,,,,
2017,My Life as a Zucchini – Claude Barras and Max Karli,,,1,0,,,,,,,,,,
2017,The Red Turtle – Michaël Dudok de Wit and Toshio Suzuki,,,1,0,,,,,,,,,,
2017,The Salesman (Iran) in Persian – Directed by Asghar Farhadidouble-dagger,,,,,1,1,,,,,,,,
2017,Land of Mine (Denmark) in Danish – Directed by Martin Zandvliet,,,,,1,0,,,,,,,,
2017,A Man Called Ove (Sweden) in Swedish – Directed by Hannes Holm,,,,,1,0,,,,,,,,
2017,Tanna (Australia) in Nauvhal – Directed by Martin Butler and Bentley Dean,,,,,1,0,,,,,,,,
2017,Toni Erdmann (Germany) in German – Directed by Maren Ade,,,,,1,0,,,,,,,,
2017,O.J.: Made in America – Ezra Edelman and Caroline Waterlowdouble-dagger,,,,,,,1,1,,,,,,
2017,"13th – Ava DuVernay, Spencer Averick and Howard Barish",,,,,,,1,0,,,,,,
2017,Fire at Sea – Gianfranco Rosi and Donatella Palermo,,,,,,,1,0,,,,,,
2017,"I Am Not Your Negro – Raoul Peck, Rémi Grellety and Hébert Peck",,,,,,,1,0,,,,,,
2017,"Life, Animated – Roger Ross Williams and Julie Goldman",,,,,,,1,0,,,,,,
2017,The White Helmets – Orlando von Einsiedel and Joanna Natasegaradouble-dagger,,,,,,,,,1,1,,,,
2017,4.1 Miles – Daphne Matziaraki,,,,,,,,,1,0,,,,
2017,Extremis – Dan Krauss,,,,,,,,,1,0,,,,
2017,Joe's Violin – Kahane Cooperman and Raphaela Neihausen,,,,,,,,,1,0,,,,
2017,Watani: My Homeland – Marcel Mettelsiefen and Stephen Ellis,,,,,,,,,1,0,,,,
2017,Sing – Kristóf Deák and Anna Udvardydouble-dagger,,,,,,,,,,,1,1,,
2017,Ennemis intérieurs – Sélim Azzazi,,,,,,,,,,,1,0,,
2017,La femme et le TGV – Timo von Gunten and Giacun Caduff,,,,,,,,,,,1,0,,
2017,Silent Nights – Aske Bang and Kim Magnusson,,,,,,,,,,,1,0,,
2017,Timecode – Juanjo Giménez,,,,,,,,,,,1,0,,
2017,Piper – Alan Barillaro and Marc Sondheimerdouble-dagger,,,,,,,,,,,,,1,1
2017,Blind Vaysha – Theodore Ushev,,,,,,,,,,,,,1,0
2017,Borrowed Time – Andrew Coats and Lou Hamou-Lhadj,,,,,,,,,,,,,1,0
2017,Pear Cider and Cigarettes – Robert Valley and Cara Speller,,,,,,,,,,,,,1,0
2017,Pearl – Patrick Osborne,,,,,,,,,,,,,1,0
2018,The Shape of Water – Guillermo del Toro and J. Miles Daledouble-dagger,1,1,,,,,,,,,,,,
2018,"Call Me by Your Name – Peter Spears, Luca Guadagnino, Émilie Georges and Marco Morabito",1,0,,,,,,,,,,,,
2018,"Darkest Hour – Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski",1,0,,,,,,,,,,,,
2018,Dunkirk – Emma Thomas and Christopher Nolan,1,0,,,,,,,,,,,,
2018,"Get Out – Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele",1,0,,,,,,,,,,,,
2018,"Lady Bird – Scott Rudin, Eli Bush and Evelyn O'Neill",1,0,,,,,,,,,,,,
2018,"Phantom Thread – JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi",1,0,,,,,,,,,,,,
2018,"The Post – Amy Pascal, Steven Spielberg and Kristie Macosko Krieger",1,0,,,,,,,,,,,,
2018,"Three Billboards Outside Ebbing, Missouri – Graham Broadbent, Pete Czernin and Martin McDonagh",1,0,,,,,,,,,,,,
2018,Coco – Lee Unkrich and Darla K. Andersondouble-dagger,,,1,1,,,,,,,,,,
2018,The Boss Baby – Tom McGrath and Ramsey Ann Naito,,,1,0,,,,,,,,,,
2018,The Breadwinner – Nora Twomey and Anthony Leo,,,1,0,,,,,,,,,,
2018,Ferdinand – Carlos Saldanha and Lori Forte,,,1,0,,,,,,,,,,
2018,"Loving Vincent – Dorota Kobiela, Hugh Welchman and Ivan Mactaggart",,,1,0,,,,,,,,,,
2018,A Fantastic Woman (Chile) in Spanish – Directed by Sebastián Leliodouble-dagger,,,,,1,1,,,,,,,,
2018,The Insult (Lebanon) in Arabic – Directed by Ziad Doueiri,,,,,1,0,,,,,,,,
2018,Loveless (Russia) in Russian – Directed by Andrey Zvyagintsev,,,,,1,0,,,,,,,,
2018,On Body and Soul (Hungary) in Hungarian – Directed by Ildikó Enyedi,,,,,1,0,,,,,,,,
2018,The Square (Sweden) in Swedish – Directed by Ruben Östlund,,,,,1,0,,,,,,,,
2018,Icarus – Bryan Fogel and Dan Cogandouble-dagger,,,,,,,1,1,,,,,,
2018,"Abacus: Small Enough to Jail – Steve James, Mark Mitten and Julie Goldman",,,,,,,1,0,,,,,,
2018,"Faces Places – Agnès Varda, JR and Rosalie Varda",,,,,,,1,0,,,,,,
2018,"Last Men in Aleppo – Feras Fayyad, Kareem Abeed and Søren Steen Jespersen",,,,,,,1,0,,,,,,
2018,Strong Island – Yance Ford and Joslyn Barnes,,,,,,,1,0,,,,,,
2018,Heaven Is a Traffic Jam on the 405 – Frank Stiefeldouble-dagger,,,,,,,,,1,1,,,,
2018,Edith+Eddie – Laura Checkoway and Thomas Lee Wright,,,,,,,,,1,0,,,,
2018,Heroin(e) – Elaine McMillion Sheldon and Kerrin Sheldon,,,,,,,,,1,0,,,,
2018,Knife Skills – Thomas Lennon,,,,,,,,,1,0,,,,
2018,Traffic Stop – Kate Davis and David Heilbroner,,,,,,,,,1,0,,,,
2018,The Silent Child – Chris Overton and Rachel Shentondouble-dagger,,,,,,,,,,,1,1,,
2018,DeKalb Elementary – Reed Van Dyk,,,,,,,,,,,1,0,,
2018,The Eleven O'Clock – Derin Seale and Josh Lawson,,,,,,,,,,,1,0,,
2018,My Nephew Emmett – Kevin Wilson Jr.,,,,,,,,,,,1,0,,
2018,Watu Wote/All of Us – Katja Benrath and Tobias Rosen,,,,,,,,,,,1,0,,
2018,Dear Basketball – Glen Keane and Kobe Bryantdouble-dagger,,,,,,,,,,,,,1,1
2018,Garden Party – Victor Caire and Gabriel Grapperon,,,,,,,,,,,,,1,0
2018,Lou – Dave Mullins and Dana Murray,,,,,,,,,,,,,1,0
2018,Negative Space – Max Porter and Ru Kuwahata,,,,,,,,,,,,,1,0
2018,Revolting Rhymes – Jakob Schuh and Jan Lachauer,,,,,,,,,,,,,1,0
2019,"Green Book – Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelongadouble-dagger",1,1,,,,,,,,,,,,
2019,Black Panther – Kevin Feige,1,0,,,,,,,,,,,,
2019,"BlacKkKlansman – Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee",1,0,,,,,,,,,,,,
2019,Bohemian Rhapsody – Graham King,1,0,,,,,,,,,,,,
2019,"The Favourite – Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos",1,0,,,,,,,,,,,,
2019,Roma – Gabriela Rodríguez and Alfonso Cuarón,1,0,,,,,,,,,,,,
2019,"A Star Is Born – Bill Gerber, Bradley Cooper and Lynette Howell Taylor",1,0,,,,,,,,,,,,
2019,"Vice – Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick",1,0,,,,,,,,,,,,
2019,"Spider-Man: Into the Spider-Verse – Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Millerdouble-dagger",,,1,1,,,,,,,,,,
2019,"Incredibles 2 – Brad Bird, John Walker and Nicole Paradis Grindle",,,1,0,,,,,,,,,,
2019,"Isle of Dogs – Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson",,,1,0,,,,,,,,,,
2019,Mirai – Mamoru Hosoda and Yuichiro Saito,,,1,0,,,,,,,,,,
2019,"Ralph Breaks the Internet – Rich Moore, Phil Johnston and Clark Spencer",,,1,0,,,,,,,,,,
2019,Roma (Mexico) in Spanish and Mixtec – Directed by Alfonso Cuaróndouble-dagger,,,,,1,1,,,,,,,,
2019,Capernaum (Lebanon) in Arabic – Directed by Nadine Labaki,,,,,1,0,,,,,,,,
2019,Cold War (Poland) in Polish and French – Directed by Paweł Pawlikowski,,,,,1,0,,,,,,,,
2019,Never Look Away (Germany) in German – Directed by Florian Henckel von Donnersmarck,,,,,1,0,,,,,,,,
2019,Shoplifters (Japan) in Japanese – Directed by Hirokazu Kore-eda,,,,,1,0,,,,,,,,
2019,"Free Solo – Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dilldouble-dagger",,,,,,,1,1,,,,,,
2019,"Hale County This Morning, This Evening – RaMell Ross, Joslyn Barnes and Su Kim",,,,,,,1,0,,,,,,
2019,Minding the Gap – Bing Liu and Diane Quon,,,,,,,1,0,,,,,,
2019,"Of Fathers and Sons – Talal Derki, Ansgar Frerich, Eva Kemme and Tobias N. Siebert",,,,,,,1,0,,,,,,
2019,RBG – Betsy West and Julie Cohen,,,,,,,1,0,,,,,,
2019,Period. End of Sentence. – Rayka Zehtabchi and Melissa Bertondouble-dagger,,,,,,,,,1,1,,,,
2019,Black Sheep – Ed Perkins and Jonathan Chinn,,,,,,,,,1,0,,,,
2019,End Game – Rob Epstein and Jeffrey Friedman,,,,,,,,,1,0,,,,
2019,Lifeboat – Skye Fitzgerald and Bryn Mooser,,,,,,,,,1,0,,,,
2019,A Night at the Garden – Marshall Curry,,,,,,,,,1,0,,,,
2019,Skin – Guy Nattiv and Jaime Ray Newmandouble-dagger,,,,,,,,,,,1,1,,
2019,Detainment – Vincent Lambe and Darren Mahon,,,,,,,,,,,1,0,,
2019,Fauve – Jérémy Comte and Maria Gracia Turgeon,,,,,,,,,,,1,0,,
2019,Marguerite – Marianne Farley and Marie-Hélène Panisset,,,,,,,,,,,1,0,,
2019,Mother – Rodrigo Sorogoyen and María del Puy Alvarado,,,,,,,,,,,1,0,,
2019,Bao – Domee Shi and Becky Neiman-Cobbdouble-dagger,,,,,,,,,,,,,1,1
2019,Animal Behaviour – Alison Snowden and David Fine,,,,,,,,,,,,,1,0
2019,Late Afternoon – Louise Bagnall and Nuria González Blanco,,,,,,,,,,,,,1,0
2019,One Small Step – Andrew Chesworth and Bobby Pontillas,,,,,,,,,,,,,1,0
2019,Weekends – Trevor Jimenez,,,,,,,,,,,,,1,0
