year,movie_name,best_picture,best_picture_won,best_animated_feature,best_animated_feature_won,best_foreign,best_foreign_won,best_doc,best_doc_won,best_doc_short,best_doc_short_won,best_live_short,best_live_short_won,best_animated_short,best_animated_short_won,release_year,period,movie_id,rating,review_num,winner,min,0
2017,O.J.: Made in America,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,tt5275892,9.666666666666666,9,1,,4
2017,O.J.: Made in America,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1,tt5275892,9.375,8,1,,4
2017,I Am Not Your Negro,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,tt5804038,8.75,24,0,1.0,4
2017,I Am Not Your Negro,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1,tt5804038,7.777777777777778,9,0,1.0,4
2018,The Shape of Water,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0,tt5580390,6.175704989154013,461,1,,4
2018,The Shape of Water,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,tt5580390,4.965665236051502,466,1,,4
2018,Phantom Thread,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0,tt5776858,6.5132275132275135,189,0,1.0,4
2018,Phantom Thread,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,tt5776858,6.408602150537634,93,0,1.0,4
2018,Coco,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0,tt2380307,8.737991266375547,229,1,,4
2018,Coco,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,tt2380307,8.759776536312849,179,1,,4
2018,The Breadwinner,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0,tt3901826,8.25,12,0,1.0,4
2018,The Breadwinner,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,tt3901826,8.133333333333333,15,0,1.0,4
2019,Green Book,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,tt6966692,8.861623616236162,542,1,,4
2019,Green Book,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,tt6966692,8.508433734939759,415,1,,4
2019,Bohemian Rhapsody,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,tt1727824,8.342799188640974,986,0,1.0,4
2019,Bohemian Rhapsody,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,tt1727824,7.78,350,0,1.0,4
